t,Zt
1973-07,545
1973-08,545
1973-09,592
1973-10,576
1973-11,593
1973-12,603
1974-01,631
1974-02,614
1974-03,617
1974-04,546
1974-05,632
1974-06,673
1974-07,732
1974-08,593
1974-09,693
1974-10,730
1974-11,731
1974-12,733
1975-01,802
1975-02,755
1975-03,805
1975-04,751
1975-05,855
1975-06,769
1975-07,800
1975-08,825
1975-09,799
1975-10,802
1975-11,765
1975-12,827
1976-01,760
1976-02,781
1976-03,769
1976-04,766
1976-05,752
1976-06,751
1976-07,761
1976-08,873
1976-09,750
1976-10,758
1976-11,772
1976-12,791
1977-01,813
1977-02,781
1977-03,797
1977-04,802
1977-05,782
1977-06,838
1977-07,756
1977-08,764
1977-09,796
1977-10,781
1977-11,780
1977-12,679
1978-01,748
1978-02,759
1978-03,749
1978-04,756
1978-05,802
1978-06,754
1978-07,792
1978-08,772
1978-09,769
1978-10,731
1978-11,746
1978-12,741
1979-01,712
1979-02,723
1979-03,698
1979-04,746
1979-05,754
1979-06,735
1979-07,722
1979-08,737
1979-09,728
1979-10,773
1979-11,723
1979-12,741
1980-01,738
1980-02,765
1980-03,748
1980-04,707
1980-05,808
1980-06,746
1980-07,773
1980-08,751
1980-09,721
1980-10,731
1980-11,735
1980-12,701
1981-01,762
1981-02,783
1981-03,796
1981-04,803
1981-05,706
1981-06,765
1981-07,781
1981-08,768
1981-09,812
1981-10,854
1981-11,858
1981-12,818
1982-01,856
1982-02,897
1982-03,817
1982-04,872
1982-05,895
1982-06,825
1982-07,922
1982-08,915
1982-09,902
1982-10,908
1982-11,911
1982-12,919
1983-01,861
1983-02,827
1983-03,855
1983-04,867
1983-05,836
1983-06,916
1983-07,828
1983-08,835
1983-09,792
1983-10,771
1983-11,757
1983-12,756
1984-01,712
1984-02,733
1984-03,746
1984-04,728
1984-05,707
1984-06,666
1984-07,636
1984-08,676
1984-09,696
1984-10,654
1984-11,613
1984-12,677
1985-01,705
1985-02,680
1985-03,699
1985-04,650
1985-05,687
1985-06,638
1985-07,670
1985-08,555
1985-09,631
1985-10,676
1985-11,659
1985-12,689
